fecha,bajas,capturas,sometimientos,desmovilizaciones,sin_desglose,total
2025-12-10,1,2,0,0,0,3
2026-03-08,0,3,0,0,0,3
2026-04-17,0,0,0,0,0,0
2026-06-12,0,2,0,0,0,2
2026-06-17,1,1,0,0,5,7
2026-06-22,0,2,0,0,0,2
2026-07-01,1,0,0,0,0,1
2026-07-07,0,0,8,0,0,8
2026-07-08,0,2,0,0,0,2
2026-07-09,0,7,0,0,0,7
2026-07-11,0,1,0,0,0,1
2026-07-12,1,0,0,0,0,1
2026-07-13,0,4,3,0,0,7
2026-07-14,0,12,0,0,0,12
2026-07-16,0,9,0,0,0,9
2026-07-17,0,8,0,0,0,8
2026-07-18,3,11,0,0,0,14
2026-07-19,0,4,0,0,0,4
2026-07-20,0,2,0,0,0,2
2026-07-21,0,11,0,0,0,11
2026-07-22,3,24,0,0,0,27
2026-07-23,3,11,0,0,0,14
2026-07-24,2,9,1,0,0,12
2026-07-25,3,2,0,0,0,5
2026-07-26,1,8,0,0,0,9
2026-07-27,1,7,2,0,0,10
2026-07-28,0,10,0,0,0,10
2026-07-29,0,12,1,0,0,13
2026-07-30,1,5,2,0,0,8
2026-07-31,3,5,0,0,0,8
2026-08-01,1,4,0,0,0,5
2026-08-02,0,2,0,0,0,2
2026-08-03,9,16,19,0,0,44
2026-08-04,2,4,0,0,0,6
2026-08-05,0,4,3,0,0,7
2026-08-06,2,1,0,0,0,3
2026-08-07,0,1,0,0,0,1
2026-08-08,1,4,0,0,0,5
2026-08-09,32,9,0,0,0,41
2026-08-10,31,8,0,0,0,39
2026-08-11,0,13,0,0,0,13
2026-08-12,2,1,4,0,0,7
2026-08-13,2,5,3,0,2,12
2026-08-14,1,3,2,0,0,6
2026-08-15,1,12,0,0,0,13
2026-08-16,1,1,0,1,0,3
2026-08-17,0,18,1,0,0,19
2026-08-18,2,4,1,0,0,7
2026-08-19,0,12,0,0,0,12
2026-08-20,0,12,0,0,0,12
2026-08-21,0,11,2,0,0,13
2026-08-22,2,29,0,1,0,32
2026-08-23,0,5,0,0,0,5
2026-08-24,0,25,0,0,0,25
2026-08-25,0,4,0,0,0,4
2026-08-26,0,1,0,0,0,1
2026-08-27,0,0,0,0,0,0
2026-08-28,1,18,7,0,0,26
2026-08-29,0,5,0,0,0,5
2026-08-30,1,1,0,0,0,2
2026-08-31,1,14,0,0,10,25
2026-09-01,38,63,0,0,27,128
2026-09-02,22,59,8,0,0,89
2026-09-03,0,7,1,0,0,8
2026-09-04,0,0,0,0,0,0
